Nama Menu;SKU;Kategori;Harga Jual;Departemen;Resep Baku
Djarum Super 12;;RETAIL STORE;30000;STORE;Djarum Super 12: 1.000
Djarum Super Mild 20;;RETAIL STORE;45000;STORE;Djarum Super Mild 20: 1.000
LA Light isi 16;;RETAIL STORE;42000;STORE;LA Light isi 16: 1.000
LA Bold isi 20;;RETAIL STORE;46000;STORE;LA Bold isi 20: 1.000
LA Menthol;;RETAIL STORE;39000;STORE;LA Menthol: 1.000
LA Ice;;RETAIL STORE;40000;STORE;LA Ice: 1.000
LA Ice Purple Boost isi 16;;RETAIL STORE;40000;STORE;LA Ice Purple Boost isi 16: 1.000
LA Ice Mango Boost isi 16;;RETAIL STORE;40000;STORE;LA Ice Mango Boost isi 16: 1.000
Djarum Super Espresso 12;;RETAIL STORE;25000;STORE;Djarum Super Espresso 12: 1.000
Djarum Super Espresso Gold 12;;RETAIL STORE;26000;STORE;Djarum Super Espresso Gold 12: 1.000
MLD cola 16;;RETAIL STORE;39000;STORE;MLD cola 16: 1.000
Djarum 76 Mangga Royal isi 12;;RETAIL STORE;25000;STORE;Djarum 76 Mangga Royal isi 12: 1.000
Djarum 76 Royal 12;;RETAIL STORE;25000;STORE;Djarum 76 Royal 12: 1.000
Djarum Safari 12;;RETAIL STORE;25000;STORE;Djarum Safari 12: 1.000
Sampoerna Mild Merah;;RETAIL STORE;44000;STORE;Sampoerna Mild Merah: 1.000
Gudang Garam Surya 12;;RETAIL STORE;36000;STORE;Gudang Garam Surya 12: 1.000
Gudang Garam Surya 16;;RETAIL STORE;44000;STORE;Gudang Garam Surya 16: 1.000
Marlboro Merah;;RETAIL STORE;63000;STORE;Marlboro Merah: 1.000
Camel Kuning;;RETAIL STORE;38000;STORE;Camel Kuning: 1.000
Gajah Baru;;RETAIL STORE;25000;STORE;Gajah Baru: 1.000
Sarung tangan;;RETAIL STORE;25000;STORE;Sarung tangan: 1.000
Lan Hua;;RETAIL STORE;40000;STORE;Lan Hua: 1.000
kacang;;RETAIL STORE;8000;STORE;kacang: 1.000
Black 16;;RETAIL STORE;39000;STORE;Black 16: 1.000
Black Capucino 16;;RETAIL STORE;39000;STORE;Black Capucino 16: 1.000
Gudang Garam International;;RETAIL STORE;34000;STORE;Gudang Garam International: 1.000
Marlboro Light Gold 20;;RETAIL STORE;62000;STORE;Marlboro Light Gold 20: 1.000
Marlboro Ice Burst isi 20;;RETAIL STORE;62000;STORE;Marlboro Ice Burst isi 20: 1.000
Dunhill Mild 16;;RETAIL STORE;37000;STORE;Dunhill Mild 16: 1.000
Dunhill Filter Black;;RETAIL STORE;37000;STORE;Dunhill Filter Black: 1.000
Sampoerna Mild Menthol;;RETAIL STORE;44000;STORE;Sampoerna Mild Menthol: 1.000
Camel Putih;;RETAIL STORE;38000;STORE;Camel Putih: 1.000
Dji Sam Soe;;RETAIL STORE;27000;STORE;Dji Sam Soe: 1.000
Kerupuk Puli Beras;;RETAIL STORE;12000;STORE;Kerupuk Puli Beras: 1.000
Kerupuk Samiler;;RETAIL STORE;13000;STORE;Kerupuk Samiler: 1.000
Kerupuk Emping;;RETAIL STORE;17000;STORE;Kerupuk Emping: 1.000
Djarum 76 Apel;;RETAIL STORE;25000;STORE;Djarum 76 Apel: 1.000
Kerupuk Rengginang;;RETAIL STORE;13000;STORE;Kerupuk Rengginang: 1.000
Charge botol bir;;RETAIL STORE;4545;STORE;Charge botol bir: 1.000
Dongan Rokok isi 12;;RETAIL STORE;25000;STORE;Dongan Rokok isi 12: 1.000
Makaroni;;RETAIL STORE;12000;STORE;Makaroni: 1.000
Lucky Strike Merah;;RETAIL STORE;38000;STORE;Lucky Strike Merah: 1.000
Keripik Rambak;;RETAIL STORE;15000;STORE;Keripik Rambak: 1.000
Djarum 76 Mangga;;RETAIL STORE;25000;STORE;Djarum 76 Mangga: 1.000
Kacang Atom;;RETAIL STORE;10000;STORE;Kacang Atom: 1.000
Kacang Bali;;RETAIL STORE;10000;STORE;Kacang Bali: 1.000
Kripik pisang;;RETAIL STORE;5000;STORE;Kripik pisang: 1.000
