Nama Bahan;SKU;Kategori;Satuan;Harga Beli;Stok Awal;Min Stok;Departemen
Djarum Super 12;;RETAIL STORE;Pc;22800;2;10;STORE
Djarum Super Mild 20;;RETAIL STORE;Pc;36400;0;10;STORE
LA Light isi 16;;RETAIL STORE;Pcs;33200;3;10;STORE
LA Bold isi 20;;RETAIL STORE;Pcs;37300;0;10;STORE
LA Menthol;;RETAIL STORE;Pcs;32800;0;10;STORE
LA Ice;;RETAIL STORE;Pcs;33200;3;10;STORE
LA Ice Purple Boost isi 16;;RETAIL STORE;Pcs;33200;6;10;STORE
LA Ice Mango Boost isi 16;;RETAIL STORE;Pcs;33200;6;10;STORE
Djarum Super Espresso 12;;RETAIL STORE;Pc;15900;0;10;STORE
Djarum Super Espresso Gold 12;;RETAIL STORE;Pcs;17600;2;10;STORE
MLD cola 16;;RETAIL STORE;Pcs;29600;2;10;STORE
Djarum 76 Mangga Royal isi 12;;RETAIL STORE;Pc;14400;0;10;STORE
Djarum 76 Royal 12;;RETAIL STORE;Pc;25000;0;10;STORE
Djarum Safari 12;;RETAIL STORE;Pc;25000;0;10;STORE
Sampoerna Mild Merah;;RETAIL STORE;Pc;34600;0;10;STORE
Gudang Garam Surya 12;;RETAIL STORE;Pc;25200;9;10;STORE
Gudang Garam Surya 16;;RETAIL STORE;Pc;34700;4;10;STORE
Marlboro Merah;;RETAIL STORE;Pc;50300;3;10;STORE
Camel Kuning;;RETAIL STORE;Pc;29000;11;10;STORE
Gajah Baru;;RETAIL STORE;Pc;25000;0;10;STORE
Sarung tangan;;RETAIL STORE;Pcs;20000;5;10;STORE
Lan Hua;;RETAIL STORE;Pcs;40000;7;10;STORE
kacang;;RETAIL STORE;pc;5000;0;10;STORE
Black 16;;RETAIL STORE;Pcs;32800;0;10;STORE
Black Capucino 16;;RETAIL STORE;Pcs;32800;0;10;STORE
Gudang Garam International;;RETAIL STORE;Pc;24925;3;10;STORE
Marlboro Light Gold 20;;RETAIL STORE;Pc;50300;4;10;STORE
Marlboro Ice Burst isi 20;;RETAIL STORE;Pc;50300;2;10;STORE
Dunhill Mild 16;;RETAIL STORE;Pc;29125;0;10;STORE
Dunhill Filter Black;;RETAIL STORE;Pc;29125;0;10;STORE
Sampoerna Mild Menthol;;RETAIL STORE;Pc;34600;2;10;STORE
Camel Putih;;RETAIL STORE;Pc;29000;2;10;STORE
Dji Sam Soe;;RETAIL STORE;Pc;19200;4;10;STORE
Kerupuk Puli Beras;;RETAIL STORE;Pc;6000;5;10;STORE
Kerupuk Samiler;;RETAIL STORE;Pc;8500;2;10;STORE
Kerupuk Emping;;RETAIL STORE;Pc;11000;4;10;STORE
Djarum 76 Apel;;RETAIL STORE;Bungkus;13500;0;10;STORE
Kerupuk Rengginang;;RETAIL STORE;Bungkus;8500;5;10;STORE
Charge botol bir;;RETAIL STORE;Botol;0;469;10;STORE
Dongan Rokok isi 12;;RETAIL STORE;Pack;14500;0;10;STORE
Makaroni;;RETAIL STORE;Bungkus;6000;0;10;STORE
Lucky Strike Merah;;RETAIL STORE;Bungkus;29000;2;10;STORE
Keripik Rambak;;RETAIL STORE;Bungkus;10000;0;10;STORE
Djarum 76 Mangga;;RETAIL STORE;Bungkus;14400;0;10;STORE
Kacang Atom;;RETAIL STORE;Bungkus;4760;28;10;STORE
Kacang Bali;;RETAIL STORE;Bungkus;5460;22;10;STORE
Kripik pisang;;RETAIL STORE;Bungkus;2500;14;10;STORE
Djarum D;;RETAIL STORE;Bungkus;14500;0;10;STORE
HS Kretek 12;;RETAIL STORE;bungkus;8000;8;10;STORE
HS Filter 12;;RETAIL STORE;bungkus;16700;9;10;STORE
HS Mild Ori 16;;RETAIL STORE;bungkus;24500;6;10;STORE
HS Mild Purple Ice 16;;RETAIL STORE;bungkus;24500;8;10;STORE
HS Mild Mango Ice;;RETAIL STORE;bungkus;24500;6;10;STORE
HS Slim Original 20;;RETAIL STORE;bungkus;28000;8;10;STORE
HS Slim Menthol 20;;RETAIL STORE;Bungkus;28000;7;10;STORE
HS Slim Fresh Mint 20;;RETAIL STORE;Bungkus;33000;8;10;STORE
HS Slim Purple Click 20;;RETAIL STORE;bungkus;33000;7;10;STORE
HS Bold;;RETAIL STORE;Bungkus;28000;10;10;STORE
Djarum Super Kretek;;RETAIL STORE;Bungkus;15900;0;10;STORE
Korek Biasa;;RETAIL STORE;Pc;1500;5;10;STORE
Korek Kricket;;RETAIL STORE;Pc;3000;2;10;STORE
IQOS Sun Pearl;;RETAIL STORE;pack;33425;1;10;STORE
Djarum 76 Apel Royal;;RETAIL STORE;Bungkus;14500;0;10;STORE
Permen Frozz;;RETAIL STORE;Bungkus;0;18;10;STORE
Kacang Thailand;;RETAIL STORE;Bungkus;3900;10;10;STORE
Kacang Koro;;RETAIL STORE;Bungkus;3650;20;10;STORE
Sumpia Ebi;;RETAIL STORE;Bungkus;4375;0;10;STORE
Djarum Black Matcha;;RETAIL STORE;bungkus;15200;0;10;STORE
