Line 509: Found closing </button> but stack top is ('div', 499). Stack context: [('string', 57), ('div', 481), ('header', 483), ('div', 499)]
Line 519: Found closing </button> but stack top is ('div', 499). Stack context: [('string', 57), ('div', 481), ('header', 483), ('div', 499)]
Line 529: Found closing </button> but stack top is ('div', 499). Stack context: [('string', 57), ('div', 481), ('header', 483), ('div', 499)]
Line 539: Found closing </button> but stack top is ('div', 499). Stack context: [('string', 57), ('div', 481), ('header', 483), ('div', 499)]
Line 549: Found closing </button> but stack top is ('div', 499). Stack context: [('string', 57), ('div', 481), ('header', 483), ('div', 499)]
Line 611: Found closing </button> but stack top is ('div', 602). Stack context: [('string', 57), ('div', 481), ('div', 585), ('div', 587), ('div', 602)]
Line 624: Found closing </button> but stack top is ('div', 615). Stack context: [('string', 57), ('div', 481), ('div', 585), ('div', 587), ('div', 615)]
Line 738: Found closing </select> but stack top is ('div', 728). Stack context: [('div', 699), ('div', 701), ('div', 703), ('div', 708), ('div', 728)]
Line 752: Found closing </select> but stack top is ('div', 740). Stack context: [('div', 699), ('div', 701), ('div', 703), ('div', 708), ('div', 740)]
Line 880: Found closing </select> but stack top is ('div', 859). Stack context: [('div', 808), ('div', 810), ('div', 815), ('div', 816), ('div', 859)]
Line 941: Found closing </button> but stack top is ('form', 698). Stack context: [('string', 57), ('div', 481), ('div', 686), ('div', 687), ('form', 698)]
Line 1003: Found closing </select> but stack top is ('div', 991). Stack context: [('div', 962), ('div', 964), ('div', 966), ('div', 971), ('div', 991)]
Line 1017: Found closing </select> but stack top is ('div', 1006). Stack context: [('div', 962), ('div', 964), ('div', 966), ('div', 971), ('div', 1006)]
Line 1171: Found closing </button> but stack top is ('div', 1157). Stack context: [('div', 962), ('div', 1108), ('div', 1114), ('div', 1155), ('div', 1157)]
Line 1353: Found closing </button> but stack top is ('form', 961). Stack context: [('string', 57), ('div', 481), ('div', 949), ('div', 950), ('form', 961)]
Line 1372: Found closing </button> but stack top is ('div', 1366). Stack context: [('div', 481), ('div', 1361), ('div', 1362), ('div', 1365), ('div', 1366)]
Line 1461: Found closing </select> but stack top is ('div', 1437). Stack context: [('div', 1425), ('div', 1426), ('div', 1433), ('div', 1435), ('div', 1437)]
Line 1496: Found closing </select> but stack top is ('div', 1484). Stack context: [('div', 1425), ('div', 1426), ('div', 1433), ('div', 1467), ('div', 1484)]
Line 1520: Found closing </button> but stack top is ('div', 1514). Stack context: [('div', 1424), ('div', 1425), ('div', 1426), ('div', 1433), ('div', 1514)]
Line 1544: Found closing </button> but stack top is ('div', 1406). Stack context: [('string', 57), ('div', 481), ('div', 1361), ('div', 1362), ('div', 1406)]
Line 1669: Found closing </button> but stack top is ('div', 1655). Stack context: [('div', 1609), ('div', 1615), ('div', 1652), ('div', 1653), ('div', 1655)]
Line 1819: Found closing </button> but stack top is ('div', 1811). Stack context: [('div', 1362), ('div', 1548), ('div', 1609), ('div', 1615), ('div', 1811)]
Line 1825: Found closing </button> but stack top is ('div', 1811). Stack context: [('div', 1362), ('div', 1548), ('div', 1609), ('div', 1615), ('div', 1811)]
Line 1873: Found closing </select> but stack top is ('div', 1863). Stack context: [('div', 1361), ('div', 1842), ('div', 1843), ('form', 1854), ('div', 1863)]
Line 1893: Found closing </button> but stack top is ('form', 1854). Stack context: [('div', 481), ('div', 1361), ('div', 1842), ('div', 1843), ('form', 1854)]
Unclosed tags at EOF:
  string (from line 57)
